S No.,Brand,City - Cold Weather *(km),Highway - Cold Weather *(km),Combined - Cold Weather *(km),City - Mild Weather *(km),Highway - Mild Weather *(km),Combined - Mild Weather *(km),Acceleration 0 - 100 km/h(sec),Top Speed(km/h),Electric Range *(km),Total Power(kW),Total Torque(Nm),Drive,Nominal Capacity(kWh),Range(km),Rated Consumption(Wh/km),Vehicle Consumption(Wh/km),Length(mm),Width(mm),Height(mm),Wheelbase(mm),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Voume
1,Volvo,465,330,395,665,415,520,8.4,180,460,205,490,Rear,104,580,199,174,5037,1964,1744,2985,3190,628,310
2,Peugeot,295,210,255,450,275,345,9.1,150,300,115,260,Front,54,406,152,125,4304,1775,1523,2562,2030,457,434
3,Fiat,300,215,255,460,280,350,9,150,305,115,260,Front,54,409,151,124,4171,1781,1523,2562,1990,445,360
4,Lexus,340,240,290,500,305,385,7.5,160,340,150,300,Front,72.8,450,167,142,4495,1840,1545,2640,2245,435,367
5,Opel ,305,220,265,475,290,365,8.1,150,315,115,260,Front,51,406,143,118,4061,1765,1435,2538,1961,492,267
6,Opel ,306,205,245,440,270,340,8.7,150,295,100,260,Front,50,354,158,131,4061,1765,1435,2538,1961,506,267
7,Honda ,307,255,300,530,325,410,7.6,160,360,150,310,Front,68.8,412,182,150,4387,1790,1584,2607,2080,425,361
8,Citroen,308,215,255,460,280,350,10,150,305,115,260,Front,54,418,149,122,4600,1800,1525,2670,2030,457,510
9,Citroen,309,225,265,475,290,365,10,150,320,115,260,Front,54,415,149,122,4360,1800,1525,2670,2030,457,380
10,Porsche,405,300,350,585,380,470,2.9,250,410,560,1050,AWD,93.4,459,224,182,4974,1967,1409,2904,2880,560,405
11,Porsche,415,310,360,605,395,485,3.3,250,425,500,850,AWD,93.4,485,212,173,4974,1967,1412,2904,2880,560,405
12,Porsche,425,320,370,625,410,500,4.1,240,440,420,650,AWD,93.4,490,213,171,4974,1967,1409,2904,2885,640,446
13,Tesla,420,315,365,635,405,505,5,217,435,378,493,AWD,78.1,542,169,138,4751,1921,1624,2890,2518,539,854
14,Tesla,375,290,335,595,385,475,6.1,225,405,208,420,Rear,60,495,144,116,4694,1849,1443,2875,2149,389,561
15,BYD,325,230,275,485,295,370,7.3,160,325,150,310,Front,62,420,156,144,4455,1875,1615,2720,2160,410,440
16,MG,355,255,305,535,330,415,7.9,160,360,150,250,Rear,64,450,160,137,4287,1836,1504,2705,2113,462,363
17,Tesla,525,410,470,790,535,645,2.1,282,560,760,1200,AWD,100,600,187,158,5021,1987,1431,2960,2629,439,709
18,BMW,350,260,305,515,330,405,6.1,200,360,240,630,AWD,76.6,425,194,167,4953,1967,1695,3000,3010,645,500
19,Tesla,405,300,350,605,385,480,3.7,250,415,393,660,AWD,78.1,514,171,146,4751,1921,1624,2890,2532,535,854
20,Kia,380,275,325,580,355,445,7.8,167,385,150,255,Front,68,463,164,140,4420,1825,1570,2720,2200,518,475
21,BMW,480,370,430,740,485,595,5.7,190,515,250,430,Rear,83.9,589,161,137,4783,1852,1448,2856,2605,555,470
22,BMW,385,275,325,560,350,440,6.8,180,385,210,400,Rear,80,461,185,161,4734,1891,1668,2864,2725,545,510
23,BMW,430,325,375,635,420,515,3.9,225,450,400,795,AWD,83.9,519,181,155,4783,1852,1448,2856,2735,520,470
24,Fiat,230,165,195,355,215,270,9,150,235,87,220,Front,42,331,140,113,3631,1683,1529,2322,1690,400,185
25,BMW,365,260,310,545,335,425,5.3,180,370,200,343,Rear,69,480,157,133,4500,1845,1616,2692,2580,570,490
26,Volvo,360,265,310,540,340,425,5.6,180,370,230,494,AWD,68,440,168,147,4233,1837,1549,2650,2235,480,318
27,Tesla,440,330,385,665,430,530,3.3,261,460,393,660,AWD,78.1,547,165,137,5021,1987,1431,2960,2534,439,709
28,Mercedes,590,465,530,885,610,730,6.2,210,635,245,568,Rear,120,784,156,138,5216,1926,1512,3210,2945,540,610
29,Hongqi,385,265,320,540,330,415,4.9,200,370,405,750,AWD,99,465,220,194,5209,2010,1731,3110,3180,550,438
30,BYD,455,345,400,675,450,545,3.9,180,475,380,700,AWD,88,521,185,164,4995,1910,1495,2920,2660,410,410
31,Volkswagen,425,310,370,640,400,500,8.6,160,435,150,310,Rear,82,534,167,144,4584,1852,1631,2771,2540,506,543
32,Mercedes,495,380,440,745,495,605,6.4,210,525,215,565,Rear,100,660,157,137,4946,1906,1503,3120,2880,600,430
33,Tesla,540,420,480,820,550,665,3.2,250,575,504,1250,AWD,100,649,175,146,5021,1987,1431,2960,2534,439,709
34,Dacia,165,110,135,255,145,190,19.1,125,165,33,125,Front,26.8,230,139,109,3734,1622,1516,2423,1300,363,300
35,Volkswagen,405,295,345,600,375,465,10.4,160,410,128,235,Rear,82,537,171,143,4584,1852,1640,2771,2660,612,543
36,Hyundai,390,280,335,595,365,460,7.9,167,395,150,395,Front,67.5,484,147,132,4205,1800,1570,2600,2170,485,332
37,BMW,500,365,430,720,465,575,4.6,200,505,385,765,AWD,111.5,630,198,167,4953,1967,1696,3000,3145,635,500
38,Mercedes,375,260,310,525,320,405,5.1,180,370,300,760,AWD,85,400,238,216,4762,1884,1624,2873,2940,520,500
39,BYD,370,270,315,530,340,420,4.6,180,360,380,680,AWD,88,411,223,195,4870,1950,1725,2820,3060,571,235
40,Audi,405,290,345,595,370,465,8.5,160,405,150,310,Rear,82,521,173,147,4588,1865,1632,2764,2640,590,520
41,BMW,490,375,430,715,480,580,4.7,240,510,400,745,AWD,105.7,625,184,163,5391,1950,1544,3215,3250,610,500
42,MG,375,260,315,555,330,420,8.4,175,370,115,280,Front,72.6,440,178,155,4323,1809,1649,2581,2070,450,448
43,Audi,405,305,355,590,390,475,4.1,245,420,390,640,AWD,93.4,487,199,175,4990,1960,1410,2900,2840,565,405
44,BMW,490,360,425,705,455,560,5.6,200,495,300,664,AWD,114,582,206,182,4953,1967,1696,3000,3145,635,500
45,Hyundai,420,320,370,635,415,510,5.1,185,440,239,605,AWD,77.4,583,151,127,4855,1880,1495,2950,2520,500,401
46,Renault,370,270,320,570,350,440,7.4,160,380,160,300,Front,65,450,161,133,4200,1860,1505,2685,2158,522,440
47,BMW,405,310,360,625,410,500,6,190,430,210,400,Rear,70.2,483,158,139,4783,1852,1448,2856,2545,555,470
48,MG,295,210,250,445,275,345,7.7,160,300,125,250,Rear,51,350,170,145,4287,1836,1504,2705,2083,448,363
49,Smart,335,235,280,495,300,380,6.7,180,335,200,343,Rear,66,440,167,141,4270,1822,1636,2750,2213,425,323
50,Renault,310,220,265,475,285,365,11.4,135,315,80,225,Front,54.7,395,174,132,4200,1860,1505,2685,2158,522,440
51,Jeep,300,210,255,450,270,345,9,150,300,115,260,Front,54,404,153,126,4084,1776,1528,2562,2015,495,355
52,Mercedes,560,435,500,825,565,680,4.3,210,590,385,855,AWD,120,672,177,160,4463,1834,1620,2729,2470,500,340
53,Opel ,300,220,260,460,285,355,8.5,170,310,115,270,Front,54,416,149,122,4374,1860,1470,2675,2220,480,352
54,Skoda,330,240,285,500,310,390,8.7,160,340,132,310,Rear,62,412,157,141,4649,1879,1616,2764,2500,610,585
55,Volkswagen,280,200,240,420,260,325,10.9,160,285,109,220,Rear,55,346,167,150,4584,1852,1640,2771,2480,589,543
56,Hyundai,390,280,330,575,355,445,7.3,185,390,168,350,Rear,77.4,507,170,146,4635,1890,1605,3000,2450,515,527
57,Fiat,300,215,255,460,280,350,9,150,305,115,260,Front,54,409,151,124,4171,1781,1523,2562,2015,495,360
58,Genesis,390,275,330,575,355,445,7.8,185,390,168,350,Rear,77.4,517,170,143,4515,1890,1580,2900,2495,595,432
59,Mercedes,410,300,355,620,385,485,8.6,160,420,140,385,Front,73.9,531,153,133,4463,1834,1620,2729,2470,500,340
60,Nissan,450,320,385,660,410,515,7.6,160,450,178,300,Front,91,536,185,162,4595,1850,1660,2775,2530,484,468
61,Fisker,520,375,445,750,480,595,3.9,205,525,420,737,AWD,113,707,165,149,4774,1982,1631,2921,2975,616,590
62,Cupra,340,250,295,515,320,400,7.3,160,350,150,310,Rear,62,424,155,137,4322,1809,1540,2766,2260,524,385
63,MG,330,235,280,500,300,385,7.7,185,335,115,280,Front,61.1,400,175,144,4600,1818,1543,2659,2017,455,479
64,Mercedes,375,275,325,565,355,445,8.9,160,385,140,385,Front,69.7,474,163,140,4684,1834,1667,2829,2520,485,495
65,Tesla,465,345,405,680,435,540,3.9,250,475,504,388,AWD,100,576,191,165,5057,1999,1680,2965,2771,431,425
66,Citroen,280,205,240,430,265,335,9.7,150,290,100,260,Front,50,357,153,130,4360,1800,1525,2670,2020,459,380
67,Mercedes,340,245,290,495,310,385,6.2,160,340,215,520,AWD,69.7,423,181,157,4684,1834,1667,2829,2580,480,495
68,Kia,435,310,370,615,390,485,5.3,200,430,283,700,AWD,105,450,244,222,5010,1980,1755,3100,3240,655,333
69,BMW,450,345,400,680,445,545,6,193,475,250,430,Rear,84.4,582,159,140,5060,1900,1515,2995,2740,610,490
70,Honda ,355,255,300,530,325,410,7.6,160,360,150,310,Front,68.8,412,182,150,4387,1790,1584,2607,2080,425,361
71,Kia,395,285,340,580,370,460,5.2,185,400,239,605,AWD,77.4,506,172,146,4680,1880,1550,2900,2530,515,480
72,Cupra,435,320,375,655,415,515,7,160,450,170,310,Rear,82,548,158,141,4322,1809,1540,2766,2300,425,385
73,Volkswagen,205,145,170,315,185,240,11.9,130,205,61,210,Front,36.8,260,144,124,3600,1645,1492,2417,1530,357,250
74,Volvo,355,255,305,530,330,415,3.6,180,360,315,543,AWD,69,460,163,139,4233,1837,1549,2650,2338,470,318
75,Audi,510,385,445,740,490,595,5.6,200,525,300,664,AWD,114,600,199,177,4915,1937,1619,2928,3180,670,528
76,Mercedes,490,375,435,735,490,595,7.3,210,515,180,550,Rear,98,639,160,139,4946,1906,1503,3120,2880,570,430
77,Renault,305,220,260,465,280,355,9.5,140,310,100,245,Front,54.7,385,177,135,4087,1787,1562,2588,1988,486,338
78,Dacia,160,110,135,250,140,185,13.7,125,160,48,113,Front,26.8,220,145,114,3734,1622,1516,2423,1300,340,300
79,Lexus,320,230,275,470,290,365,5.6,160,320,230,435,AWD,71.4,200,278,233,4805,1895,1635,2850,2640,585,425
80,Peugeot,270,190,225,405,245,310,8.5,150,270,100,260,Front,50,342,157,135,4300,1770,1530,2605,2030,482,434
81,Mercedes,490,350,415,695,445,550,4.6,210,485,400,858,AWD,120,615,200,176,5125,1959,1718,3210,3375,640,645
82,Lucid,640,505,575,960,655,790,2.9,270,685,696,1390,AWD,118,883,150,134,4975,1939,1410,2960,2850,490,456
83,BYD,335,240,285,505,305,385,7,160,340,150,310,Front,62,427,159,142,4290,1770,1570,2700,2068,385,345
84,Opel ,285,205,245,440,270,340,8.1,150,295,100,260,Front,50,359,156,129,4060,1765,1433,2538,1920,465,309
85,Audi,280,200,240,420,260,325,9,160,285,125,310,Rear,55,341,170,152,4588,1865,1632,2764,2475,585,520
86,Fisker,520,380,445,755,480,595,4.2,200,525,400,390,AWD,113,610,150,172,4774,1982,1631,2921,2575,600,550
87,Lucid,640,505,575,960,655,790,2.7,270,685,828,1390,AWD,118,861,153,137,4975,1939,1410,2960,2850,490,456
88,Volvo,345,245,290,510,310,390,7.3,180,345,175,420,Rear,69,467,168,141,4425,1873,1652,2702,2470,505,419
89,Hyundai,295,210,250,435,270,340,8.5,185,295,125,350,Rear,58,400,163,135,4355,1825,1575,2660,2220,497,466
90,Renault,135,90,110,205,120,155,12.6,135,135,60,160,Rear,23,190,163,112,3615,1646,1541,2492,1484,373,174
91,Peugeot,295,215,255,445,275,345,9.8,170,300,115,260,Front,54,410,173,124,4367,1852,1441,2675,2110,426,412
92,Toyota,320,225,270,460,285,360,6.9,160,315,160,336,AWD,71.4,461,162,139,4690,1860,1600,2850,2550,550,452
93,MG,370,255,310,540,325,415,7.9,200,365,132,410,Rear,75,402,194,174,4674,1919,1618,2804,2288,478,357
94,Fisker,380,275,325,555,350,435,7.4,160,380,205,360,Front,75,440,200,170,4774,1982,1631,2921,2850,490,456
95,Hyundai,245,175,210,380,230,290,9.9,155,250,100,395,Front,42,305,143,129,4205,1800,1570,2600,2020,485,332
96,Mercedes,460,340,400,675,435,535,6.7,210,470,215,565,Rear,100,594,176,153,4863,1940,1685,3030,2975,620,520
